,Step,Mean,Std,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,Reward7,Reward8,Reward9,Reward10
0,15714.0,866.0,2.0,865.32,863.35,864.86,869.87,865.94,868.04,865.33,866.97,868.82,865.25
1,21641.0,651.0,2.0,646.96,652.19,648.81,652.04,650.09,649.6,653.22,652.15,652.02,652.93
2,27884.0,451.0,4.0,454.12,449.56,455.38,457.18,448.16,450.83,447.81,446.0,451.52,445.9
3,33246.0,498.0,4.0,490.41,497.84,492.24,502.29,495.01,498.03,502.07,501.21,502.04,496.77
4,38787.0,692.0,14.0,712.82,686.25,708.47,705.2,704.41,690.06,669.62,677.32,688.09,676.81
5,44268.0,752.0,4.0,754.85,750.65,757.22,757.41,753.74,754.1,745.45,749.01,751.3,744.78
6,50122.0,898.0,2.0,895.96,897.47,897.31,898.97,896.76,900.97,900.21,899.34,897.23,897.27
7,55964.0,612.0,7.0,620.55,608.85,617.26,626.04,612.89,613.23,605.41,606.31,607.3,606.34
8,61455.0,822.0,2.0,817.74,822.37,821.26,820.2,824.02,822.91,824.43,824.25,822.27,821.31
9,67375.0,488.0,28.0,426.16,502.61,503.25,507.6,490.17,505.1,505.49,495.05,441.89,501.65
10,72689.0,376.0,23.0,344.31,395.38,346.48,349.98,365.57,372.77,403.79,403.19,398.71,378.0
11,78443.0,503.0,10.0,491.82,509.13,489.86,492.48,499.31,501.94,524.78,510.44,503.22,503.49
12,84235.0,474.0,3.0,468.9,473.87,472.16,474.06,478.87,471.07,478.54,476.52,475.08,472.28
13,89761.0,237.0,10.0,227.4,231.11,229.27,235.32,227.21,244.73,257.45,247.39,240.64,231.15
14,95675.0,552.0,72.0,443.64,597.37,452.14,549.82,505.6,477.61,614.93,640.5,623.46,613.1
15,101112.0,200.0,16.0,179.77,192.07,190.64,181.44,187.11,205.21,227.02,226.1,208.85,199.93
16,106748.0,949.0,6.0,951.26,939.58,952.26,950.84,939.23,953.83,947.61,957.53,944.59,954.76
17,112290.0,314.0,20.0,317.18,301.93,308.09,373.17,305.83,312.09,301.71,308.43,305.84,304.09
18,117987.0,354.0,14.0,347.66,363.93,358.26,362.72,364.07,355.33,314.63,352.47,354.99,362.91
19,123659.0,580.0,2.0,581.67,577.9,582.93,579.04,582.67,583.62,577.65,579.82,578.07,576.44
20,129779.0,707.0,42.0,685.36,758.28,690.31,663.85,667.31,778.82,772.07,687.3,674.39,695.17
21,136045.0,671.0,4.0,677.81,665.44,675.92,674.99,666.46,675.68,668.38,668.25,666.49,669.81
22,141352.0,606.0,25.0,613.33,574.38,649.97,578.28,615.19,635.2,607.87,587.57,576.66,626.53
23,147334.0,380.0,8.0,391.22,379.62,389.69,387.83,383.11,380.73,369.98,366.76,377.98,373.3
24,153103.0,482.0,32.0,454.2,517.96,456.77,457.14,515.81,454.18,523.86,523.37,457.46,456.94
25,159024.0,686.0,3.0,679.58,685.1,683.91,682.91,688.91,681.62,690.07,690.01,688.06,687.0
26,165024.0,551.0,6.0,541.63,547.51,544.58,549.04,550.01,546.12,554.21,558.19,561.83,555.58
27,170554.0,924.0,4.0,916.57,921.66,919.46,923.02,927.2,923.21,926.21,928.49,926.75,923.3
28,176554.0,506.0,10.0,489.97,503.82,496.34,495.55,501.4,503.25,520.59,517.79,516.62,510.75
29,182150.0,846.0,8.0,831.12,845.37,841.62,833.78,851.56,847.34,854.37,851.62,850.99,855.13
30,188150.0,926.0,117.0,1014.78,1090.56,689.04,931.63,901.61,971.76,772.47,901.84,924.55,1062.52
31,193365.0,866.0,87.0,757.36,831.97,942.03,814.4,875.05,820.17,754.23,1024.67,988.72,854.87
32,199041.0,878.0,318.0,804.23,949.22,27.97,949.36,1196.4,832.52,727.27,1107.37,1129.91,1058.3
33,204784.0,741.0,318.0,83.49,896.85,1005.07,681.26,1019.32,951.36,951.47,193.54,876.5,750.38
34,211448.0,733.0,257.0,323.82,540.18,695.22,734.13,1052.98,1144.57,537.59,763.11,501.32,1032.38
35,216846.0,717.0,306.0,796.3,939.15,851.9,826.15,763.09,748.64,934.07,89.41,171.15,1047.08
36,225397.0,706.0,314.0,1128.29,55.03,794.19,984.92,518.01,666.75,951.32,959.59,343.99,653.51
37,231523.0,966.0,481.0,901.72,475.67,510.02,537.72,1215.09,191.64,1514.27,1510.96,1254.58,1548.91
38,237795.0,1001.0,346.0,987.92,221.31,1004.31,1028.5,811.23,1016.52,1440.31,846.78,1572.21,1080.71
39,244210.0,845.0,485.0,741.51,1571.43,1431.63,391.23,205.32,698.55,1574.92,662.52,842.44,326.27
40,250399.0,973.0,424.0,618.7,1580.44,1098.6,862.21,977.35,963.09,1634.45,462.03,1263.49,270.37
41,257622.0,850.0,433.0,228.72,935.54,198.4,951.14,1141.73,612.83,484.81,1577.17,1106.92,1267.22
42,263272.0,992.0,590.0,1853.69,1407.37,532.3,1322.27,33.33,906.19,1836.74,1126.33,409.54,489.7
43,269532.0,935.0,367.0,940.53,685.72,800.81,737.79,834.9,706.93,941.52,1414.44,1795.23,489.18
44,275027.0,903.0,542.0,1310.61,1015.38,1857.19,212.0,934.96,144.19,1560.58,597.33,396.76,1003.08
45,280330.0,929.0,386.0,429.07,995.84,1263.04,914.6,714.03,1119.69,1657.03,289.96,1178.58,729.93
46,286498.0,628.0,365.0,412.85,700.51,592.49,407.73,916.38,64.11,1224.34,98.95,844.72,1013.34
47,291503.0,1507.0,681.0,2087.43,2026.16,540.52,1824.77,2057.33,2024.43,452.65,2040.18,1524.88,491.28
48,297782.0,1935.0,587.0,756.48,2348.73,2352.45,1527.95,2323.1,979.64,2178.98,2449.23,2169.96,2264.3
49,303996.0,1679.0,563.0,614.13,2169.73,1038.77,1814.08,2080.7,2051.88,1867.66,2006.82,2242.6,903.03
50,311580.0,2094.0,415.0,1920.48,2362.74,2274.54,1816.17,2294.36,2238.02,2270.15,2458.13,2319.98,983.07
51,319097.0,1567.0,678.0,2326.93,2164.47,590.77,2072.38,875.93,1096.85,1065.2,2380.19,898.92,2198.54
52,325382.0,2501.0,312.0,2597.48,2541.12,2690.24,2575.84,2751.82,2775.41,1710.98,2663.13,2144.61,2556.71
53,333649.0,2683.0,66.0,2700.13,2683.65,2690.05,2736.29,2541.52,2812.39,2688.83,2692.16,2633.56,2652.17
54,341289.0,2238.0,1075.0,2777.19,2860.87,2801.63,-2.93,2827.61,2731.83,2682.26,2689.48,2820.55,187.42
55,349165.0,1905.0,1143.0,3105.56,2408.43,3251.68,3077.73,403.58,1024.18,1605.32,116.72,1073.52,2985.91
56,355704.0,2871.0,560.0,3146.33,3056.73,3104.13,2487.46,3156.76,3221.73,2957.93,3148.06,1302.05,3132.81
57,361649.0,2647.0,834.0,3089.14,3065.78,432.05,3185.85,2992.78,2679.21,1807.13,2957.98,3077.63,3178.81
58,368160.0,2667.0,823.0,1489.3,3150.99,3192.12,3087.19,3067.55,3035.24,3061.2,3059.59,2871.19,654.64
59,376447.0,2982.0,611.0,3502.75,3514.37,2833.12,3335.59,1722.4,2359.72,2298.82,3310.81,3436.24,3503.88
60,383143.0,2799.0,1092.0,3283.64,817.38,430.28,3227.95,3405.65,3332.7,3352.56,3359.76,3403.64,3375.45
61,390783.0,3346.0,120.0,3319.77,3287.21,3162.44,3583.93,3379.81,3489.19,3294.05,3420.0,3212.11,3315.62
62,398199.0,1905.0,1216.0,2158.49,285.76,1030.99,623.71,3693.58,1784.09,1872.74,3390.79,3555.74,657.0
63,404804.0,1674.0,1403.0,1348.12,2964.59,3311.02,127.69,3199.38,27.55,2384.03,416.58,-199.77,3162.76
64,412626.0,1335.0,1046.0,761.06,985.36,213.76,276.97,3252.51,1774.28,1163.58,590.37,3232.22,1103.64
65,419425.0,1991.0,1504.0,954.11,919.08,3580.92,332.47,3599.96,2247.62,3875.49,3785.51,286.31,323.71
66,427858.0,3503.0,811.0,3841.96,3905.05,3785.49,3741.57,3670.97,3669.32,1091.03,3966.16,3586.44,3776.05
67,434875.0,3339.0,1111.0,58.73,3578.31,3827.63,3678.1,3784.32,3855.0,3891.72,3798.9,3169.33,3749.18
68,443941.0,3595.0,896.0,3788.34,3932.72,3802.5,4021.11,3909.09,3898.38,3899.83,3775.83,4007.1,917.81
69,452724.0,3987.0,93.0,4010.53,4077.82,3913.5,4068.76,4122.78,3993.64,3894.21,3968.82,4022.34,3796.45
70,461976.0,4096.0,66.0,3976.74,4154.24,4139.98,4182.56,4108.45,4185.48,4083.19,4046.08,4061.15,4027.08
71,470674.0,3985.0,110.0,3836.17,4101.9,4012.09,4013.24,4041.32,3982.08,3775.94,3886.57,4126.84,4074.68
72,479938.0,3432.0,752.0,3827.32,4076.32,2293.63,3789.06,1680.41,3743.5,3442.89,3727.96,3989.0,3750.34
73,485604.0,3161.0,943.0,2968.23,3717.44,3720.58,3849.89,3709.07,3602.36,1278.37,3819.06,3553.93,1391.78
74,494574.0,3434.0,1263.0,3824.55,4082.19,3839.95,3919.47,3499.0,3896.89,3872.84,-331.7,3942.27,3795.26
75,503011.0,3944.0,323.0,3850.49,4209.53,4280.54,4047.33,3830.81,3126.04,3774.38,4091.02,3953.05,4276.86
76,513054.0,3316.0,1396.0,3940.64,4044.21,3964.25,1055.96,3937.05,3885.07,3968.65,80.74,3945.12,4336.7
77,518454.0,4022.0,175.0,3734.05,4192.39,4332.57,3755.85,4142.94,3951.68,3966.01,4054.04,4035.18,4059.88
78,527277.0,4003.0,75.0,4015.08,4117.23,3923.71,4013.07,3842.7,4063.1,3984.66,3993.95,4082.07,3995.36
79,532485.0,4048.0,42.0,3964.9,4085.76,4040.67,4004.19,4075.72,4119.82,4060.4,4015.93,4066.83,4047.46
80,542702.0,4045.0,98.0,3819.94,3978.7,4066.32,4083.07,4217.63,4106.13,4053.35,4089.61,3990.36,4043.02
81,548102.0,3506.0,1257.0,4143.07,1382.62,3973.34,4117.76,4356.07,4040.87,657.6,4065.32,4222.91,4101.44
82,557910.0,3771.0,675.0,4074.38,3375.23,4174.41,2193.31,2919.6,4322.05,4192.3,4048.7,4166.93,4240.11
83,567925.0,4425.0,81.0,4380.19,4294.59,4383.19,4497.27,4480.33,4402.08,4345.33,4427.25,4597.66,4442.81
84,576753.0,3412.0,1396.0,2390.59,4222.0,4255.04,4281.14,-19.23,4089.58,4295.49,4102.49,4427.51,2070.99
85,582153.0,4366.0,166.0,4528.21,4443.41,4182.06,4540.99,4426.17,4118.15,4368.44,4602.35,4317.86,4130.21
86,587504.0,4097.0,91.0,4212.52,4113.82,4100.33,4107.63,4005.51,4170.83,4225.03,3908.94,4034.51,4089.77
87,597741.0,3870.0,1074.0,4163.52,4156.64,4180.3,4171.92,652.12,4248.13,4258.14,4277.48,4356.68,4239.45
88,602867.0,3540.0,1644.0,4348.55,4396.66,4300.15,4110.59,4390.41,4255.91,684.38,4504.27,4536.7,-124.55
89,612668.0,4386.0,77.0,4485.34,4261.11,4405.34,4423.7,4324.37,4394.28,4353.46,4466.72,4273.71,4475.49
90,618668.0,4412.0,98.0,4398.18,4384.0,4575.04,4496.28,4383.9,4421.39,4228.22,4518.56,4427.92,4286.12
91,624668.0,4514.0,76.0,4455.99,4504.23,4535.16,4687.42,4544.55,4477.3,4475.57,4427.2,4440.8,4594.16
92,630035.0,4434.0,155.0,4265.85,4207.84,4790.2,4491.4,4375.05,4492.84,4507.82,4430.11,4303.42,4471.66
93,635293.0,4024.0,1207.0,4488.13,4548.34,4543.33,538.29,4743.84,3496.67,4481.47,4528.9,4603.55,4264.88
94,641293.0,4526.0,75.0,4544.43,4485.67,4415.61,4463.42,4419.01,4547.63,4584.94,4653.55,4538.43,4603.5
95,649897.0,3605.0,1548.0,4386.33,2670.0,4664.1,4477.19,4478.34,4765.22,4639.72,159.56,1394.76,4413.9
96,655897.0,4237.0,575.0,4459.1,4478.64,2526.43,4375.1,4469.66,4527.73,4433.98,4495.68,4314.89,4285.03
97,661897.0,4604.0,91.0,4804.93,4644.62,4631.43,4483.48,4526.5,4534.35,4677.38,4574.26,4516.52,4642.96
98,667801.0,4563.0,102.0,4667.84,4422.4,4629.84,4620.44,4437.39,4573.42,4518.07,4439.48,4576.77,4744.46
99,673801.0,4506.0,87.0,4412.04,4418.5,4496.81,4531.03,4549.33,4693.33,4558.58,4535.5,4486.88,4376.03
100,679801.0,4670.0,123.0,4556.25,4715.67,4781.33,4782.39,4704.47,4456.83,4719.23,4473.31,4818.95,4689.5
101,685801.0,4742.0,58.0,4778.5,4710.86,4714.12,4746.67,4740.67,4722.89,4645.06,4826.92,4687.13,4845.92
102,695712.0,4555.0,662.0,4785.11,2621.48,4799.91,4816.55,4981.61,4364.44,4859.1,4731.12,4744.58,4849.18
103,701712.0,4194.0,1350.0,5102.94,4759.37,4539.65,4771.72,4780.24,4824.81,708.31,4849.29,5027.23,2581.14
104,707312.0,4786.0,150.0,4859.21,4832.53,4405.56,4715.99,4828.62,4910.29,4751.61,4839.96,4991.03,4729.38
105,713312.0,4662.0,563.0,4881.29,3005.94,4972.93,4761.37,4647.43,4989.99,4778.76,4718.67,4956.31,4911.67
106,719312.0,4816.0,102.0,4671.19,4882.21,4897.17,4828.61,4901.5,4842.17,4651.47,4671.55,4901.48,4911.53
107,725312.0,4586.0,363.0,4647.8,4501.8,4633.15,4601.87,4716.11,3549.79,4695.23,4789.29,4924.87,4798.8
108,735518.0,4663.0,87.0,4564.31,4658.73,4686.14,4551.36,4551.22,4657.46,4808.54,4699.76,4798.05,4659.21
109,741518.0,4178.0,1351.0,3405.39,4792.82,4713.38,4843.63,4578.43,4698.87,317.85,4767.99,4827.33,4836.25
110,747111.0,4160.0,1554.0,1733.63,4970.23,4807.43,4958.84,4897.65,4870.55,483.09,4823.27,4936.17,5123.69
111,753111.0,4582.0,512.0,4690.81,4811.39,4708.53,4793.34,4766.52,3051.77,4814.72,4726.92,4686.98,4764.54
112,758853.0,4875.0,145.0,4544.63,5027.57,4813.2,4819.42,4911.42,4894.95,4983.01,4876.88,4781.58,5097.73
113,764853.0,4761.0,268.0,4890.73,4811.74,4900.18,4811.39,4941.54,4875.56,4887.86,4712.38,4796.45,3978.6
114,770336.0,4819.0,126.0,4756.06,4866.3,4565.8,4679.83,5045.74,4869.66,4864.24,4922.38,4844.06,4777.17
115,776336.0,5033.0,88.0,5067.39,4926.74,4889.48,5153.11,4962.28,5080.79,5043.1,5150.02,4958.68,5095.0
116,781539.0,4598.0,866.0,4638.33,5010.76,4862.68,2032.45,5058.89,4844.35,4648.65,5020.49,4907.57,4954.6
117,787539.0,4631.0,968.0,5085.69,4859.93,4994.0,5118.81,4737.38,4855.91,4941.89,1747.51,4896.15,5067.78
118,792993.0,4974.0,100.0,4923.89,4983.39,4960.28,5024.35,5042.52,4902.54,5104.95,5094.36,4959.12,4743.93
119,798820.0,5024.0,97.0,4950.05,4905.38,4909.09,5215.92,5027.04,5000.95,5099.95,5047.39,4949.61,5134.34
120,804148.0,4932.0,132.0,5036.08,4950.34,4977.13,5192.39,4913.36,4833.86,4996.29,4860.0,4664.4,4898.44
121,810148.0,4462.0,1450.0,5008.03,4870.12,5083.76,5089.03,4975.2,4839.29,4767.65,4849.25,121.15,5011.73
122,816148.0,4917.0,677.0,5284.69,4567.53,5398.82,5031.43,5201.83,5041.61,5365.08,3007.68,5283.04,4989.32
123,822021.0,4948.0,136.0,5212.58,4839.22,4848.59,4868.01,5133.72,4863.0,5104.1,4835.1,4881.69,4891.83
124,827129.0,4557.0,1228.0,4794.17,5149.6,4774.13,5096.52,5010.41,893.92,5123.16,4846.14,4900.97,4982.25
125,833129.0,4890.0,143.0,5161.41,4942.26,4956.87,4975.51,4780.67,4669.1,4826.04,4820.44,4733.73,5034.52
126,839129.0,4336.0,1038.0,4863.67,5097.75,5010.81,5261.15,3491.58,4753.23,4657.63,5219.31,2269.05,2737.44
127,845129.0,4257.0,1299.0,4803.17,4893.14,4783.45,2814.97,4790.28,833.38,4750.27,4805.53,5153.19,4939.23
128,851129.0,4540.0,1181.0,4961.41,4777.02,5012.91,1017.45,5038.74,4920.77,4874.96,4720.46,5194.59,4884.96
129,857129.0,4963.0,107.0,4726.02,5098.71,5059.4,5008.74,4906.18,4889.97,5016.31,4931.27,5083.16,4911.22
130,863129.0,4913.0,102.0,4858.19,4806.3,5049.12,4895.33,4777.37,4856.22,5103.34,5004.89,4847.04,4936.53
131,869129.0,4903.0,96.0,4972.73,5023.97,4967.11,4976.86,4790.59,4695.59,4941.62,4863.34,4853.85,4944.18
