,Step,Mean,Std,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,Reward7,Reward8,Reward9,Reward10
0,18000.0,-408.0,155.0,-521.02,-237.71,-528.6,-533.91,-514.67,-377.11,-525.39,-161.28,-151.27,-530.16
1,26000.0,50.0,73.0,124.62,85.02,-18.34,75.19,-80.78,85.57,90.28,-50.48,32.59,156.42
2,34000.0,-91.0,39.0,-110.67,-93.61,-79.64,-74.78,-74.26,-168.68,-76.46,-72.75,-142.32,-19.9
3,42000.0,210.0,22.0,168.66,238.46,217.24,190.02,250.62,207.11,194.36,205.97,218.4,210.35
4,50000.0,117.0,76.0,38.02,134.69,36.47,160.73,131.98,79.25,311.82,78.12,72.85,125.77
5,58000.0,-25.0,55.0,67.59,-40.37,10.17,4.93,-47.98,-12.08,-37.97,-38.49,-158.58,3.02
6,66000.0,-92.0,17.0,-125.21,-88.06,-116.72,-72.81,-108.59,-82.76,-82.6,-88.96,-77.1,-78.31
7,74000.0,57.0,24.0,17.53,53.86,42.28,100.62,66.97,61.24,35.42,61.18,94.23,41.53
8,82000.0,-236.0,23.0,-200.08,-224.81,-237.61,-222.11,-260.07,-208.28,-264.48,-226.56,-250.19,-269.04
9,90000.0,-142.0,21.0,-152.04,-139.7,-135.94,-125.23,-181.38,-121.1,-154.93,-120.31,-171.79,-119.79
10,98000.0,-139.0,41.0,-161.86,-46.13,-160.75,-95.67,-169.45,-166.72,-113.52,-144.99,-196.14,-139.75
11,107000.0,-228.0,24.0,-235.3,-204.18,-204.11,-229.54,-227.7,-245.62,-247.36,-259.28,-251.76,-178.01
12,112000.0,-169.0,14.0,-193.61,-156.36,-149.62,-177.42,-168.86,-185.7,-164.82,-174.24,-146.54,-172.18
13,117000.0,-278.0,9.0,-282.81,-283.25,-266.94,-280.83,-283.15,-284.72,-273.19,-288.26,-285.08,-256.45
14,122000.0,-300.0,21.0,-321.76,-320.99,-302.07,-278.56,-277.46,-295.82,-300.54,-322.41,-321.72,-262.14
15,127000.0,-166.0,25.0,-194.26,-199.09,-171.43,-172.88,-128.69,-153.34,-125.88,-177.18,-148.9,-188.88
16,132000.0,-287.0,20.0,-278.68,-289.25,-296.03,-297.41,-270.73,-244.97,-286.09,-318.85,-280.48,-310.66
17,137000.0,-322.0,45.0,-345.89,-332.33,-323.67,-343.8,-194.48,-356.27,-307.04,-345.69,-350.94,-324.05
18,142000.0,-292.0,15.0,-307.59,-300.51,-277.18,-266.75,-303.66,-301.74,-299.25,-302.97,-288.73,-269.18
19,147000.0,180.0,36.0,145.41,160.64,134.81,238.64,242.99,169.41,196.43,165.3,199.73,145.71
20,152000.0,-197.0,39.0,-217.13,-222.93,-148.63,-184.93,-193.78,-147.52,-138.6,-248.14,-220.3,-246.16
21,157000.0,3880.0,103.0,3937.56,3975.48,3836.87,3991.67,3925.47,3971.7,3757.78,3945.61,3778.21,3681.98
22,162000.0,4107.0,155.0,4244.69,4087.58,4264.54,4210.17,3994.24,4063.44,4372.71,3897.56,3876.85,4062.86
23,167000.0,4171.0,96.0,4111.73,4218.33,4101.65,4025.12,4327.34,4093.78,4205.74,4088.27,4237.03,4301.77
24,172000.0,4305.0,66.0,4270.95,4359.24,4425.23,4308.42,4307.98,4341.43,4321.11,4205.46,4320.14,4191.86
25,177000.0,4528.0,127.0,4516.57,4669.09,4358.58,4342.93,4401.21,4545.15,4527.36,4686.14,4722.13,4510.06
26,182000.0,4650.0,133.0,4904.36,4560.3,4586.47,4538.76,4667.45,4823.48,4705.17,4512.28,4723.33,4475.91
27,187000.0,4740.0,121.0,4554.51,4924.38,4767.95,4633.61,4580.31,4811.15,4779.41,4655.49,4886.68,4806.91
28,192000.0,4911.0,69.0,4916.24,4878.28,4954.78,4847.49,4987.98,4884.28,4879.11,4863.23,4828.69,5065.75
29,197000.0,4705.0,161.0,4884.25,4790.27,4701.93,4657.81,4883.96,4545.01,4593.99,4395.07,4670.59,4931.3
30,202000.0,5069.0,125.0,5299.93,5034.48,4870.89,4887.58,5068.4,5049.18,5136.93,5009.73,5139.29,5197.72
