,Step,Mean,Std,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,Reward7,Reward8,Reward9,Reward10
0,15064.0,207.0,5.0,207.11,210.24,209.92,204.83,216.51,205.2,201.69,199.39,207.97,202.65
1,20712.0,221.0,1.0,219.04,221.28,221.01,221.22,218.94,221.5,219.87,221.65,221.18,219.37
2,26461.0,370.0,25.0,438.49,375.18,360.44,357.52,383.85,355.85,354.19,358.09,362.39,349.6
3,31740.0,620.0,147.0,312.49,745.72,752.12,512.93,655.53,830.5,718.83,639.87,514.16,521.53
4,36929.0,531.0,141.0,767.3,557.72,610.0,572.76,603.51,622.23,401.37,310.95,296.6,568.06
5,42597.0,646.0,19.0,655.37,648.57,622.76,673.6,666.28,639.42,611.14,628.23,656.26,658.91
6,47944.0,576.0,12.0,556.12,587.53,573.21,589.9,572.42,560.06,596.04,571.17,572.53,576.14
7,53641.0,842.0,269.0,761.16,809.6,779.35,727.58,731.73,756.84,728.3,708.56,769.7,1642.99
8,59125.0,668.0,76.0,707.54,662.36,682.51,545.89,732.5,689.06,763.31,536.26,613.15,750.74
9,64964.0,770.0,264.0,638.33,619.09,737.68,739.68,705.21,999.27,1424.83,732.7,363.33,736.98
10,70922.0,722.0,222.0,637.21,1344.37,601.2,726.85,527.9,741.55,634.5,731.35,531.71,746.49
11,76023.0,534.0,211.0,603.77,299.3,601.92,314.48,855.47,300.49,867.85,592.94,300.72,604.7
12,81831.0,1987.0,583.0,2018.27,1688.62,3045.71,1859.91,1337.79,1693.28,3105.99,2025.46,1672.46,1426.96
13,88893.0,1920.0,795.0,3002.1,3130.48,1241.88,1906.84,1089.98,1372.47,1089.39,1190.14,2346.09,2829.92
14,95935.0,3106.0,83.0,3130.98,2961.22,3195.0,3069.49,3178.57,3004.5,3254.41,3091.87,3076.06,3100.87
15,102418.0,2243.0,825.0,2921.9,1594.17,3009.25,2042.8,1115.65,2279.38,1677.92,1107.12,3366.41,3314.28
16,108083.0,759.0,109.0,694.59,932.37,693.5,695.3,1009.49,696.73,713.98,692.9,762.44,702.82
17,113402.0,1686.0,636.0,896.31,2469.97,1495.22,1696.25,1254.42,1802.66,1802.01,1035.31,3095.88,1309.11
18,120927.0,2010.0,806.0,1177.32,1693.59,2932.42,1216.55,3088.79,1488.05,3042.77,798.58,2188.26,2473.74
19,128168.0,1500.0,601.0,1340.81,1229.2,3244.28,1619.87,1366.35,1367.9,1105.87,1040.62,1273.52,1414.75
