,Step,Mean,Std,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,Reward7,Reward8,Reward9,Reward10
0,15078.0,527.0,267.0,352.57,920.31,359.53,1013.81,340.63,367.56,317.78,844.43,304.26,448.31
1,20200.0,228.0,88.0,220.58,211.76,197.63,431.46,223.35,224.87,268.4,59.0,268.99,176.46
2,25260.0,141.0,103.0,282.19,109.02,59.0,93.84,333.02,48.13,265.2,61.6,87.36,68.88
3,30543.0,267.0,14.0,253.72,254.22,272.27,260.92,261.06,275.81,247.98,276.85,299.91,267.54
4,35695.0,299.0,2.0,296.28,299.74,295.51,300.94,303.21,297.13,296.07,298.23,299.69,301.32
5,40916.0,143.0,96.0,163.55,167.64,99.07,414.3,59.11,116.18,83.67,125.18,108.25,94.09
6,46207.0,290.0,270.0,7.75,348.17,61.32,317.22,125.41,-4.55,967.66,367.54,398.69,309.08
7,51306.0,348.0,125.0,385.21,401.15,415.72,402.49,92.58,414.07,103.3,413.28,417.79,430.0
8,56503.0,37.0,4.0,38.54,37.68,39.45,36.49,26.94,41.45,33.41,38.67,39.0,36.1
9,61593.0,515.0,144.0,465.41,656.59,822.88,436.55,565.72,477.14,391.15,470.57,277.37,587.71
10,66780.0,318.0,202.0,353.79,322.49,199.87,321.44,112.68,343.75,126.43,847.81,391.45,158.97
11,72007.0,773.0,340.0,959.2,932.12,133.2,937.02,946.97,52.97,949.04,934.85,939.88,942.08
12,77079.0,736.0,355.0,906.16,902.12,922.19,903.42,27.22,24.72,930.71,924.15,904.3,917.36
13,82369.0,332.0,378.0,857.55,216.2,941.21,172.68,40.3,71.59,908.4,40.76,38.93,35.97
14,87518.0,259.0,379.0,83.18,1037.34,61.74,994.83,55.66,73.01,69.0,82.45,70.22,62.37
15,92686.0,636.0,8.0,635.17,638.96,636.7,634.03,647.9,625.83,645.95,632.1,642.6,621.4
16,97779.0,645.0,13.0,644.15,630.37,637.33,628.79,657.12,662.64,664.41,637.33,633.27,653.84
17,102829.0,605.0,22.0,595.73,606.51,666.52,607.4,616.77,590.14,595.48,600.15,582.0,592.19
18,108159.0,494.0,61.0,629.63,463.27,469.13,462.76,439.12,476.11,463.63,457.68,597.87,483.72
19,113390.0,644.0,18.0,622.21,658.92,615.18,659.63,667.34,629.34,639.71,669.52,633.04,646.53
20,118590.0,473.0,10.0,476.02,492.04,467.65,472.68,471.3,462.89,465.19,465.99,488.88,465.44
21,124088.0,72.0,22.0,56.73,72.3,70.46,62.88,53.19,65.04,67.73,134.65,66.33,67.1
22,129444.0,725.0,5.0,723.9,716.03,722.74,720.91,734.4,720.85,725.93,728.14,723.99,733.17
23,134596.0,499.0,15.0,488.83,483.66,496.83,488.28,492.33,509.78,514.19,506.42,479.7,529.47
24,139732.0,283.0,284.0,612.81,549.33,61.23,63.15,780.0,65.67,60.87,31.18,55.45,547.02
25,144769.0,498.0,79.0,524.04,516.25,509.91,527.13,270.22,499.37,585.88,527.87,500.33,514.26
26,149990.0,630.0,26.0,601.94,613.45,636.71,614.35,700.15,610.21,636.03,621.35,628.73,634.05
27,156461.0,724.0,271.0,1225.03,541.8,668.75,670.13,948.58,447.97,459.31,461.17,1143.0,678.02
28,162467.0,930.0,256.0,631.59,673.58,578.52,1120.36,791.56,1381.29,1207.41,894.23,898.91,1125.09
29,169748.0,895.0,264.0,853.69,1286.16,1174.16,611.31,1128.77,926.19,595.41,1004.5,420.85,952.47
30,176494.0,747.0,471.0,455.37,468.4,524.13,397.32,912.94,458.77,472.73,1391.08,527.36,1857.15
31,182113.0,648.0,802.0,35.41,1636.02,20.44,692.22,43.02,796.91,34.13,37.37,2531.39,654.66
32,187344.0,152.0,278.0,30.74,33.15,43.11,41.02,27.12,32.37,296.27,27.96,31.44,952.85
33,192425.0,948.0,586.0,460.94,991.71,460.79,1493.07,347.94,446.82,1098.14,2085.87,1646.27,452.83
34,197432.0,884.0,460.0,594.88,373.79,230.98,992.93,871.15,1396.35,437.48,1762.96,1166.21,1010.46
35,204126.0,2017.0,633.0,1405.44,1170.38,1566.01,1504.09,1888.93,2128.99,1807.56,3003.08,2716.48,2976.32
36,209140.0,1205.0,587.0,872.79,360.08,1627.54,1444.11,829.57,1152.59,1075.76,1694.57,2451.54,544.86
37,215979.0,1153.0,551.0,706.87,866.11,754.01,1021.53,1031.15,1919.91,907.5,2453.27,1187.81,685.32
38,222843.0,1147.0,771.0,1394.68,2795.2,506.38,509.49,1490.16,457.71,1237.46,2092.04,483.93,503.23
39,228008.0,3370.0,633.0,3830.68,3275.87,4018.1,3892.92,3385.02,3840.9,3593.04,3276.8,2787.47,1798.2
40,233750.0,3143.0,892.0,2373.05,2106.42,2610.79,3119.75,4086.03,4566.02,4227.05,1799.47,3474.49,3068.36
41,240610.0,2966.0,1208.0,1887.9,4369.5,1463.26,3059.37,4207.48,4531.52,2420.94,2302.95,4176.98,1236.42
42,247330.0,4105.0,609.0,4592.59,4417.61,2691.53,4593.8,4446.69,4185.38,3201.23,4100.8,4487.2,4328.3
43,253880.0,3701.0,942.0,2813.95,4357.82,4080.22,4414.56,1667.03,4293.88,4453.24,4207.87,2504.4,4214.82
44,260663.0,3457.0,979.0,1912.23,2204.71,4120.72,3911.61,2817.97,2268.46,4313.34,4494.6,4437.36,4088.21
45,267078.0,3180.0,1135.0,1776.34,4441.85,4130.1,3525.07,1539.59,3217.98,4482.53,4130.74,1447.69,3107.84
46,272888.0,4897.0,107.0,4842.69,4623.68,4872.4,5001.64,4983.93,4927.86,4836.8,4946.71,4975.67,4960.99
47,279576.0,4500.0,453.0,5051.98,4390.83,3915.19,4057.09,4922.89,4962.34,4559.17,5088.53,4077.71,3973.6
48,285655.0,3182.0,1307.0,2168.14,2928.94,3536.63,2986.72,3524.54,348.15,5015.0,2590.92,3586.44,5132.16
49,291964.0,4831.0,48.0,4814.97,4804.31,4730.07,4815.72,4859.51,4791.68,4889.44,4864.95,4842.07,4896.36
50,298175.0,4976.0,60.0,4935.58,5043.79,4975.54,5050.82,4988.29,4916.88,5032.99,5028.97,4916.26,4870.2
51,305813.0,4831.0,621.0,5021.46,5418.58,5310.29,4073.86,5133.39,5230.27,5000.17,4503.31,3378.07,5243.95
52,312391.0,4909.0,473.0,5381.26,5256.9,4929.97,4757.7,5003.46,5188.49,3771.13,5414.67,4431.39,4952.34
53,319473.0,4620.0,1527.0,3244.86,5376.76,5432.88,5370.77,5266.54,5352.04,434.91,5210.6,5225.37,5289.5
54,326959.0,4389.0,643.0,3553.09,4379.09,5359.71,4065.0,4147.94,3687.46,5051.37,3737.84,5367.09,4545.57
55,334483.0,5317.0,125.0,5400.74,5379.06,5409.4,5372.35,5402.51,5058.99,5424.31,5116.31,5365.66,5236.3
56,342732.0,4781.0,1151.0,5236.64,5450.65,5429.75,4680.88,5398.94,5358.86,5186.88,5444.01,4056.77,1567.49
57,350838.0,5300.0,150.0,5387.76,5347.78,5271.57,5385.59,5358.25,5359.25,5384.09,5381.47,4869.52,5253.53
58,358027.0,5428.0,18.0,5382.69,5437.62,5458.02,5429.99,5439.52,5432.33,5433.15,5420.13,5422.09,5428.19
59,364952.0,4432.0,1720.0,5378.96,1056.04,5283.17,5127.89,5261.07,5279.1,5347.66,5321.0,5333.16,932.79
60,373352.0,3522.0,2205.0,4978.09,5343.73,5398.41,403.22,1044.79,5389.0,766.99,1118.28,5370.63,5402.43
61,381010.0,5246.0,44.0,5276.54,5206.94,5191.1,5237.77,5328.72,5270.9,5191.91,5295.36,5251.76,5210.96
62,388752.0,5413.0,14.0,5419.43,5421.85,5382.1,5408.65,5416.19,5398.32,5429.32,5431.36,5404.87,5419.32
63,396480.0,5509.0,13.0,5507.28,5488.33,5518.34,5527.79,5503.16,5520.7,5508.38,5526.1,5498.57,5492.8
64,404831.0,5503.0,24.0,5508.29,5527.65,5474.16,5492.99,5450.62,5519.98,5503.8,5532.95,5517.44,5498.63
65,414431.0,5513.0,27.0,5564.36,5484.89,5526.78,5498.27,5527.7,5525.07,5486.66,5464.32,5518.86,5529.34
66,422753.0,3996.0,2267.0,5341.62,5500.8,836.2,5481.63,5474.34,386.46,5498.98,5527.65,5517.62,389.98
67,432353.0,5488.0,137.0,5524.49,5559.08,5080.86,5541.93,5553.43,5531.74,5521.69,5499.6,5523.68,5541.79
68,440370.0,5508.0,27.0,5544.5,5509.48,5535.24,5461.93,5457.46,5526.99,5503.76,5517.42,5499.37,5519.52
69,449970.0,5565.0,36.0,5591.18,5572.2,5582.69,5591.18,5536.39,5552.12,5470.07,5586.53,5580.1,5586.98
70,459570.0,5608.0,53.0,5624.4,5603.63,5608.32,5618.78,5458.04,5657.36,5611.11,5645.9,5636.11,5618.97
71,468667.0,5549.0,61.0,5561.95,5597.07,5469.12,5401.75,5558.04,5592.05,5559.64,5603.42,5588.73,5560.91
72,478267.0,5420.0,55.0,5435.38,5432.91,5328.71,5395.36,5467.53,5374.7,5379.28,5530.09,5465.24,5387.24
73,486221.0,5658.0,70.0,5670.57,5677.01,5722.53,5664.82,5598.78,5697.63,5711.73,5630.73,5726.25,5480.45
74,495821.0,5737.0,70.0,5756.57,5827.44,5757.04,5745.1,5766.72,5790.76,5574.69,5754.5,5640.34,5761.7
75,506021.0,5778.0,18.0,5780.98,5786.53,5741.78,5779.09,5788.38,5773.7,5818.11,5780.19,5771.13,5763.03
76,511421.0,5783.0,16.0,5783.42,5758.16,5786.51,5781.27,5786.57,5815.39,5783.11,5793.72,5779.6,5757.44
77,516821.0,5803.0,21.0,5782.16,5827.27,5812.26,5773.01,5791.68,5773.65,5808.48,5835.18,5806.72,5823.7
78,521886.0,5805.0,8.0,5807.33,5815.0,5791.47,5810.5,5805.23,5812.45,5794.71,5811.43,5795.83,5808.88
79,527286.0,5790.0,39.0,5831.56,5754.86,5824.6,5832.34,5818.47,5795.21,5777.57,5725.02,5732.9,5811.82
80,532686.0,5782.0,67.0,5712.75,5649.51,5854.87,5758.46,5831.77,5833.81,5807.73,5772.8,5723.44,5870.0
81,538086.0,5825.0,19.0,5841.68,5784.57,5838.45,5823.24,5811.1,5816.56,5820.87,5840.25,5822.13,5854.96
82,543486.0,5839.0,15.0,5813.71,5843.13,5825.13,5848.0,5832.63,5845.5,5831.32,5858.5,5829.06,5863.23
83,548886.0,5872.0,34.0,5917.75,5837.28,5827.45,5861.73,5937.97,5865.15,5890.36,5846.92,5848.18,5887.16
84,554286.0,5825.0,18.0,5815.12,5838.52,5853.83,5843.46,5798.05,5822.83,5804.9,5844.09,5824.92,5804.56
85,563557.0,5759.0,37.0,5689.65,5826.79,5732.75,5733.54,5749.85,5777.19,5776.41,5779.97,5730.58,5792.74
86,568957.0,5706.0,88.0,5715.04,5771.9,5800.54,5643.02,5758.62,5797.7,5565.41,5608.34,5600.26,5799.75
87,579076.0,5796.0,20.0,5822.47,5774.3,5804.46,5785.94,5838.63,5798.59,5795.79,5776.88,5770.52,5792.33
88,584101.0,5716.0,17.0,5731.29,5731.6,5713.2,5725.28,5697.13,5708.62,5718.77,5728.59,5730.77,5678.67
89,589501.0,5813.0,24.0,5821.75,5800.43,5813.91,5864.71,5819.7,5810.1,5818.28,5819.05,5803.56,5762.81
90,594901.0,5842.0,33.0,5815.63,5839.38,5799.21,5856.61,5880.06,5804.07,5913.11,5833.31,5848.5,5828.74
91,600301.0,5835.0,20.0,5839.43,5826.07,5847.11,5840.44,5819.21,5863.24,5810.42,5849.05,5796.82,5856.69
92,606193.0,5778.0,20.0,5762.64,5809.41,5775.26,5769.3,5788.4,5785.87,5754.26,5786.92,5806.76,5742.74
93,612193.0,5798.0,12.0,5804.66,5803.25,5793.37,5789.18,5810.7,5784.8,5771.53,5810.28,5810.57,5804.56
94,618193.0,5822.0,15.0,5826.24,5830.51,5807.9,5829.41,5838.78,5814.77,5812.23,5824.5,5842.63,5790.1
95,624193.0,5851.0,55.0,5905.53,5844.05,5793.0,5870.29,5844.83,5892.74,5729.72,5928.92,5831.58,5868.08
96,629344.0,5812.0,35.0,5777.03,5791.07,5818.58,5785.14,5882.33,5782.21,5776.19,5843.24,5854.45,5806.09
97,635344.0,5798.0,53.0,5802.67,5859.28,5749.29,5888.5,5837.11,5743.63,5795.78,5719.03,5829.92,5756.49
98,641344.0,5651.0,249.0,5091.78,5747.83,5550.25,5828.24,5824.48,5284.6,5804.91,5863.54,5790.82,5728.17
99,647344.0,5760.0,28.0,5716.6,5817.32,5752.22,5781.67,5752.98,5759.64,5715.56,5774.65,5765.34,5763.86
